# Wavelength [nm],zero_counts_500avgs_8ms
325.63699868723876,-100.80082698078049
326.0913447265662,-99.39296914279629
326.5456724339622,-101.61033840320846
326.99998179507685,-100.06561705707239
327.45427279556003,-99.41252066958538
327.9085454210615,-99.64521959202015
328.36279965723134,-101.18408307801724
328.81703548971944,-101.41676384395801
329.2712529041757,-96.68865927486247
329.72545188624997,-103.62237811962471
330.1796324215923,-102.21063325177549
330.63379449585256,-102.31425849176969
331.0879380946807,-100.01282527128738
331.54206320372646,-100.68350714314509
331.99616980863993,-101.2798975765953
332.4502578950711,-99.9561168258792
332.90432744866973,-98.74964112098958
333.3583784550858,-102.37487347154611
333.8124108999692,-100.67569222242302
334.26642476896996,-100.73825933603767
334.72042004773795,-98.90607515567203
335.17439672192296,-101.5125702194352
335.628354777175,-98.86892065350878
336.0822941991441,-103.73969638260029
336.53621497348,-100.5974706667837
336.9901170858327,-101.3287738149674
337.44400052185216,-101.58687508066636
337.89786526718825,-103.03773529740226
338.3517113074909,-100.27483523308752
338.80553862841,-101.64554108645726
339.25934721559554,-101.86845633947352
339.7131370546974,-99.22481050015489
340.16690813136546,-99.39884789528328
340.62066043124963,-97.80714988858104
341.07439394,-100.10276249906116
341.52810864326636,-100.18489125566461
341.98180452669857,-100.00695211957954
342.43548157594665,-100.52317087350707
342.8891397766605,-102.07962320583144
343.34277911449,-96.28191338287712
343.7963995750851,-103.97824031646164
344.25000114409573,-100.41757654290413
344.70358380717187,-101.3483253046974
345.15714754996327,-100.22204529895546
345.61069235812,-99.4457606345945
346.0642182172919,-99.54353182935613
346.51772511312896,-101.59665734688097
346.9712130312811,-102.79137287973236
347.4246819573981,-101.09999934262646
347.87813187713,-100.07539392105753
348.3315627761267,-101.70225264271733
348.7849746400382,-99.15635777933184
349.2383674545142,-100.2709240584293
349.6917412052049,-100.45277776578862
350.14509587776,-100.79495752611032
350.5984314578296,-100.84580224434892
351.05174793106335,-100.89468519048535
351.50504528311143,-98.57365949032139
351.9583234996237,-100.25333429568353
352.41158256625005,-101.62793488016459
352.86482246864034,-101.43435823175544
353.3180431924445,-99.20524315422203
353.77124472331263,-99.3460448427487
354.2244270468945,-101.36201429996105
354.67759014884,-100.4684221069349
355.1307340147991,-102.68382319248215
355.5838586304218,-97.11493338514741
356.03696398135787,-99.88963258759344
356.4900500532573,-102.45700368698269
356.94311683176994,-98.88652809456184
357.3961643025459,-100.43713827744962
357.849192451235,-101.96230852154679
358.302201263487,-101.65336420567004
358.75519072495206,-102.63689203189449
359.20816082128,-100.57205280594529
359.6611115381208,-100.29439480134135
360.1140428611242,-100.81255562287652
360.56695477594025,-96.20566390962868
361.0198472682189,-100.3921628792662
361.47272032361,-101.26425409799131
361.9255739277635,-100.61507193867574
362.3784080663293,-98.9666845370334
362.83122272495746,-102.74835083806104
363.28401788929773,-99.2130659597067
363.73679354499995,-102.58801252524914
364.1895496777143,-99.72733982300046
364.6422862730906,-100.0890803120491
365.0950033167787,-101.45390699741353
365.54770079442847,-98.23929607438349
366.00037869169,-102.21454624739688
366.45303699421316,-100.26310628127882
366.9056756876478,-102.33577888161989
367.3582947576438,-100.26506123539725
367.8108941898513,-101.83325250330618
368.26347396992,-100.38433805951453
368.7160340834999,-102.7092421731409
369.16857451624094,-98.46806458818874
369.62109525379304,-101.36397724291523
370.0735962818061,-100.83212357867697
370.52607758593,-101.4069856406776
370.9785391518147,-103.87656994673937
371.43098096511017,-102.07962056370714
371.88340301146627,-102.53717532827824
372.3358052765329,-100.59551779184162
372.78818774596,-100.29635371993376
373.2405504053975,-98.87674716954682
373.6928932404954,-102.86958562057715
374.1452162369035,-101.10586151256783
374.59751938027165,-102.26734322888589
375.04980265625005,-102.93997320699677
375.50206605048834,-100.92402558041827
375.95430954863656,-99.5787298850278
376.40653313634465,-102.9908178232413
376.8587367992625,-101.33073394534044
377.31092052304,-99.48487149314671
377.7630842933271,-100.12623726034441
378.21522809577374,-100.82821187541224
378.6673519160298,-100.92792714850908
379.1194557397453,-100.37456338683211
379.57153955257,-99.51615199310939
380.0236033401539,-101.62598860238963
380.47564708814696,-100.56618987129258
380.9276707821991,-101.65532027785974
381.37967440796007,-102.77376776107417
381.83165795108,-102.43158749594019
382.2836213972087,-101.6455463103479
382.7355647319962,-99.81924137445542
383.18748794109223,-99.7195198271666
383.6393910101468,-100.95920903545729
384.09127392481,-102.89695977911342
384.54313667073154,-101.1175955147166
384.99497923356137,-102.11286649470556
385.44680159894943,-101.62989824806678
385.8986037525457,-97.91860498340564
386.35038568000004,-102.32012850479693
386.8021473669623,-102.08940669816722
387.2538887990825,-100.47819533505995
387.7056099620106,-100.11058761143491
388.1573108413965,-100.61507170520015
388.60899142288997,-101.23491854239226
389.0606516921411,-101.71006694346232
389.51229163479974,-101.26033898758993
389.96391123651586,-101.94079672526587
390.4155104829392,-99.91504894407814
390.86708935971996,-100.9670365735454
391.3186478525079,-101.62208440098772
391.77018594695295,-100.7108778094088
392.22170362870503,-100.50361709449291
392.67320088341404,-102.87739878415825
393.12467769673003,-101.2427419976157
393.5761340543027,-100.03237638331359
394.02756994178213,-102.45112218115936
394.4789853448183,-103.20393482462603
394.93038024906093,-100.87904655978826
395.38175464016,-99.7625286257591
395.8331085037655,-102.64471567201446
396.2844418255273,-101.51843927412258
396.7357545910955,-101.66899962660958
397.18704678611965,-101.05112541244046
397.63831839625,-99.7156041011159
398.0895694071363,-102.54304159128495
398.5407998044286,-101.61424581629446
398.99200957377667,-100.86144546568823
399.44319870083046,-104.72321411991858
399.89436717124,-102.55868540582959
400.3455149706552,-100.33545444908874
400.7966420847258,-98.06330989915323
401.2477484991018,-99.20915936305337
