# Wavelength [nm],one_counts_500avgs_8ms
575.5637252401393,55069.73402699132
576.3308761209046,54967.673104151385
577.0979521654554,54906.704294060706
577.8649533737916,54806.04332766397
578.6318797459135,54731.04925167275
579.3987312818208,54678.11422033592
580.1655079815137,54626.64385587102
580.932209844992,54574.61087038615
581.6988368722559,54535.756324464644
582.4653890633053,54515.81990459114
583.2318664181403,54496.11332614127
583.9982689367607,54470.46254237782
584.7645966191667,54457.75074570404
585.5308494653582,54447.854952406284
586.2970274753352,54448.78234341559
587.0631306490977,54438.189510013326
587.8291589866458,54443.33888929817
588.5951124879793,54428.38380611877
589.3609911530984,54433.02835272066
590.126794982003,54414.64104622183
590.8925239746932,54426.70206861934
591.6581781311688,54426.44425878138
592.42375745143,54422.41016100759
593.1892619354767,54434.56343397502
593.9546915833089,54449.50106798663
594.7200463949266,54497.851619010675
595.4853263703299,54543.97492057759
596.2505315095186,54590.94274590337
597.0156618124929,54652.812276576675
597.7807172792527,54739.81053473256
598.545697909798,54832.287515381046
599.3106037041289,54953.64731360673
600.0754346622452,55066.66249028818
600.8401907841471,55204.68700174469
601.6048720698345,55346.60619242624
602.3694785193074,55500.74498727034
603.1340101325659,55674.01483705862
603.8984669096099,55828.18943062979
604.6628488504393,55966.95583890038
605.4271559550543,56125.30494480262
606.1913882234549,56279.95434543472
606.9555456556409,56423.98871185113
607.7196282516124,56580.459953527374
608.4836360113695,56702.28200251622
609.2475689349121,56851.99858447374
610.0114270222402,56985.924222438676
610.7752102733539,57119.37718540611
611.538918688253,57258.34837673744
612.3025522669377,57360.16578981116
613.0661110094079,57479.138886330715
613.8295949156636,57595.874429186435
614.5930039857049,57707.34361460742
615.3563382195316,57834.82858820017
616.1195976171439,57919.03709107873
616.8827821785417,57993.73818861248
617.645891903725,58118.31205812176
618.4089267926938,58181.880385251294
619.1718868454482,58238.83941933116
619.934772061988,58319.80236774018
620.6975824423134,58356.407432203974
621.4603179864243,58400.87224164199
622.2229786943208,58457.56866952489
622.9855645660027,58515.55410026134
623.7480756014702,58615.00591134572
624.5105118007232,58706.15633415282
625.2728731637617,58797.23346374861
626.0351596905857,58918.284892082826
626.7973713811953,59058.339969318564
627.5595082355903,59188.55836330947
628.3215702537709,59358.95496586183
629.083557435737,59510.897902796685
629.8454697814886,59643.55998221279
630.6073072910258,59791.42589008677
631.3690699643485,59915.383788375555
632.1307578014566,60053.791862119615
