# Wavelength [nm],zero_counts_50avgs_60.0ms
450.2910699342122,-54.34581800164924
450.73981177494824,-55.910702988005696
451.18853132313086,-62.776234869548155
451.63722856441007,-47.773339713529985
452.08590348443556,-45.817188122541125
452.53455606885734,-54.03293035409794
452.98318630332545,-50.864063922846555
453.4317941734897,-53.70038276521485
453.880379665,-63.57816425038462
454.3289427635063,-56.06719681973066
454.7774834546585,-55.24567759728974
455.2260017241067,-53.68083028298925
455.6744975575005,-53.270065125434705
456.12297094049,-44.839066874986855
456.57142185872516,-55.05004814060921
457.0198502978558,-43.156726837723426
457.4682562435318,-56.360610333102734
457.9166396814033,-58.66866754736357
458.36500059711994,-55.42172841534804
458.813338976332,-50.961828279051176
459.261654804689,-52.507166285270976
459.709948067841,-59.25549257928726
460.158218751438,-62.306848227110905
460.60646684113004,-52.78097904968286
461.0546923225667,-57.16255389970732
461.5028951813981,-52.741915294150985
461.9510754032742,-58.64916109570189
462.39923297384496,-54.463252783421176
462.84736787876,-53.563449802161884
463.2954801036695,-52.95708585657867
463.7435696342233,-57.514628278508305
464.1916364560715,-53.876381796563756
464.6396805548637,-59.099060983147766
465.08770191624996,-49.10353173787812
465.53570052588026,-58.82518875941011
465.9836763694046,-60.311764450730905
466.4316294324727,-47.36251059041732
466.87955970073443,-56.8887471164539
467.32746715984007,-47.47987736426725
467.7753517954391,-58.7273857208507
468.2232135931818,-53.1135418644616
468.67105253871784,-55.010944894356946
469.11886861769733,-58.394884772291114
469.56666181577003,-51.685569928996635
470.01443211858594,-47.7733748265434
470.46217951179494,-51.196632205740535
470.9099039810471,-53.935088020450166
471.3576055119921,-52.50716283622282
471.80528409028,-58.825168716312845
472.2529397015607,-58.45359420354658
472.7005723314842,-59.646733911570415
473.14818196570025,-54.26763622816891
473.59576858985884,-56.04759579198615
474.04333218961,-53.42649201303665
474.49087275060356,-59.627168327977294
474.9383902584894,-59.66623992850847
475.38588469891744,-38.4029642497716
475.8333560575377,-60.68335989561616
476.2808043200001,-57.22127619753732
476.72822947195436,-59.607576192103735
477.17563149905055,-54.913110561729226
477.6230103869386,-49.318715496770956
478.07036612126853,-58.94253877716726
478.51769868769003,-57.18213765778361
478.9650080718531,-56.30193117606371
479.4122942594077,-58.53180602401891
479.85955723600387,-55.226139434585846
480.3067969872913,-58.21879551000848
480.75401349892,-57.10391165339021
481.2012067565399,-57.92542308051053
481.648376745801,-51.82253068048292
482.09552345235306,-61.44613860232233
482.54264686184604,-51.86168205518123
482.98974695992996,-52.565858081619645
483.43682373225477,-52.702798013724326
483.8838771644702,-53.11350550795928
484.33090724222626,-42.68724287596579
484.7779139511728,-57.10391952369713
485.22489727696,-65.78837867318155
485.67185720523753,-53.289582131241275
486.1187937216554,-56.125913239289815
486.5657068118634,-60.742042541029285
487.0125964615117,-47.264787225949334
487.45946265625,-61.42664006014874
487.9063053817283,-61.44620728712254
488.3531246235965,-59.78361181836259
488.7999203675047,-52.46805427758045
489.2466925991025,-49.2013577201984
489.69344130403994,-45.91502169050434
490.14016646796705,-49.612167633089456
490.5868680765338,-50.53152859635942
491.0335461153898,-60.17482234764683
491.4802005701853,-50.08161066297303
491.92683142657,-53.133135615522114
492.37343867019393,-49.61210395980691
492.82002228670694,-59.21639668034625
493.266582261759,-58.27750214430147
493.713118581,-56.63447334519868
494.15963123008004,-57.71023892928928
494.6061201946487,-58.29707211510789
495.05258546035617,-56.04764213514777
495.4990270128523,-45.895467530331004
495.9454448377869,-29.83402412363495
496.39183892081,-52.62452715241907
496.8382092475715,-58.0623588025529
497.28455580372145,-54.189441353276436
497.73087857490947,-47.87115665929237
498.1771775467857,-56.301923475253
498.623452705,-62.93270742937636
499.0697040352024,-59.666267747373176
499.5159315230426,-60.4095392966686
499.9621351541706,-48.438398383944275
500.4083149142364,-58.277487791240716
500.85447078889007,-53.348259744406334
501.30060276378117,-59.509819055563796
501.7467108245597,-52.9766183310305
502.19279495687584,-53.5438661196546
502.63885514637934,-58.94256694796062
503.08489137872,-51.64648381559034
503.53090363954794,-52.42888081812197
503.9768919145129,-55.16745451366777
504.4228561892651,-56.55623277569419
504.8687964494541,-44.81952365469653
505.31471268073,-52.62455351331141
505.7606048687427,-60.2530951926129
506.2064729991422,-57.49507787325902
506.6523170575783,-52.0376825667122
507.09813702970087,-51.54869049002677
507.54393290115996,-57.29950048963883
507.98970465760556,-52.35066412370575
508.4354522846874,-60.33129090279751
508.88117576805547,-47.362553061450846
509.32687509335966,-52.11595633248308
509.7725502462501,-53.05487485985515
510.21820121237636,-54.99137666479408
510.66382797738856,-58.25792089928865
511.1094305269366,-56.59530954824826
511.5550088466705,-58.981687938957975
512.0005629222401,-56.20411671527665
512.4460927392951,-50.98138390419441
512.8915982834857,-57.279939582053366
513.3370795404619,-56.771399199496464
513.7825364958733,-65.2602882212726
514.22796913537,-50.55108295884427
514.6733774446019,-29.59923572135657
515.118761409219,-56.5170782821686
515.564121014871,-50.31638563665544
516.009456247208,-57.14300962445294
516.45476709188,-53.895950497317784
516.9000535345367,-50.531522385639946
517.3453155608282,-49.220908674356586
517.7905531564043,-59.37287436827606
518.2357663069148,-59.11854632937573
518.68095499801,-54.05246538754243
519.1261192153396,-53.36783739043097
519.5712589445534,-53.91552385500806
520.0163741713013,-53.50474766054581
520.4614648812337,-55.754229757832206
520.9065310599999,-54.67842118345266
521.3515726932503,-56.712661450989415
521.7965897666345,-55.12829195260094
522.2415822658027,-59.45111644203127
522.6865501764045,-47.812515966440095
523.13149348409,-58.90345964233552
523.5764121745092,-57.944988554400126
524.0213062333119,-48.12543521770586
524.4661756461479,-56.458433710833496
