# Wavelength [nm],shape_counts_50avgs_60.0ms
341.98180452669857,19.17096439300152
342.43548157594665,22.65278088052002
342.8891397766605,21.28354478706244
343.34277911449,21.618300871619923
343.7963995750851,23.00464716287678
344.25000114409573,20.755825655348566
344.70358380717187,20.75498191360107
345.15714754996327,19.914298621099782
345.61069235812,20.911953283539
346.0642182172919,21.18600748346902
346.51772511312896,23.33792913533467
346.9712130312811,24.766512710854315
347.4246819573981,23.318283233183138
347.87813187713,24.843163568680687
348.3315627761267,21.576832359756985
348.7849746400382,22.79075876813597
349.2383674545142,24.37527218564748
349.6917412052049,27.094324793448077
350.14509587776,26.291655774086646
350.5984314578296,28.89453005981386
351.05174793106335,28.854080272068025
351.50504528311143,27.858241134234692
351.9583234996237,27.89557762576516
352.41158256625005,27.89645414279172
352.86482246864034,28.150969073165292
353.3180431924445,29.149226303332405
353.77124472331263,30.539150756493672
354.2244270468945,29.4232688633187
354.67759014884,31.615561330733623
355.1307340147991,31.964882106149613
355.5838586304218,33.5523583418949
356.03696398135787,33.98089275785632
356.4900500532573,30.810241827996673
356.94311683176994,33.74773476869043
357.3961643025459,36.720263615406466
357.849192451235,34.72350749452937
358.302201263487,34.078978752523184
358.75519072495206,34.78252345079677
359.20816082128,36.505386163584795
359.6611115381208,33.550984479299125
360.1140428611242,38.01154461871633
360.56695477594025,37.44495419079057
361.0198472682189,37.07183673261595
361.47272032361,40.30263582493024
361.9255739277635,40.595215309364306
362.3784080663293,37.89834043322986
362.83122272495746,37.7584472319095
363.28401788929773,42.258960590159504
363.73679354499995,43.39288571484866
364.1895496777143,39.12635233920859
364.6422862730906,42.767176975796154
365.0950033167787,43.04046050921967
365.54770079442847,43.45301395832025
366.00037869169,46.09211832120353
366.45303699421316,46.24770116709629
366.9056756876478,45.720002908444535
367.3582947576438,46.03841620165637
367.8108941898513,44.859903329860735
368.26347396992,46.645521683137304
368.7160340834999,47.81361016878492
369.16857451624094,49.38148197800834
369.62109525379304,49.69282434126619
370.0735962818061,51.31703692939552
370.52607758593,48.128753303201904
370.9785391518147,53.60686688881392
371.43098096511017,53.09680932379329
371.88340301146627,52.746234087341136
372.3358052765329,54.335011853808155
372.78818774596,55.701726262919365
373.2405504053975,54.45047244019557
373.6928932404954,54.95616991979205
374.1452162369035,55.50631441220763
374.59751938027165,57.247605509701465
375.04980265625005,60.454604808572235
375.50206605048834,62.19761766551921
375.95430954863656,62.57047463489328
376.40653313634465,61.04660185230372
376.8587367992625,61.951896567022075
377.31092052304,63.823810782191146
377.7630842933271,66.99210691074266
378.21522809577374,67.38505835869256
378.6673519160298,69.12775750193845
379.1194557397453,68.54075224806611
379.57153955257,68.11055352151939
380.0236033401539,72.3945292865326
380.47564708814696,75.38838604653148
380.9276707821991,74.13446971627076
381.37967440796007,75.48558239573799
381.83165795108,76.52111873379916
382.2836213972087,77.40597702793187
382.7355647319962,78.71542815303812
383.18748794109223,78.79868867398825
383.6393910101468,81.06143444051385
384.09127392481,81.18042488570828
384.54313667073154,84.15881425379578
384.99497923356137,84.90130780364338
385.44680159894943,87.2287340502475
385.8986037525457,87.01883415213646
